horizon_step,mae_normalized,rmse_normalized,bias_normalized,predictive_std_normalized,interval_width_p10_p90_normalized,coverage_p10_p90,mae_original,rmse_original,bias_original,predictive_std_original,interval_width_p10_p90_original
1,0.1383139,0.25262293,-0.0020859288,0.13043298,0.31457064,0.6205674,0.04642565,0.084793985,-0.00070015265,0.04378042,0.10558714
2,0.15038802,0.27895692,-0.0037909488,0.13632855,0.33216605,0.6255319,0.05047841,0.09363313,-0.001272452,0.045759294,0.11149305
3,0.17701696,0.37704954,0.015280105,0.15254395,0.37188387,0.61985815,0.059416525,0.12655838,0.005128836,0.051202077,0.12482452
4,0.18258199,0.40139914,0.018190525,0.15619998,0.37778884,0.6212766,0.06128451,0.1347314,0.006105728,0.05242926,0.12680648
5,0.19404374,0.43932235,0.0023347123,0.16261551,0.39661202,0.6134752,0.06513168,0.14746048,0.0007836505,0.054582663,0.13312458
6,0.20673235,0.5557103,0.0039147176,0.1646599,0.40093055,0.6177305,0.06939061,0.18652661,0.0013139963,0.05526884,0.13457413
7,0.2144748,0.49876937,0.017182847,0.17070049,0.41635856,0.5964539,0.0719894,0.16741414,0.005767497,0.057296433,0.13975275
8,0.22349167,0.6412144,0.00542793,0.17520197,0.4279286,0.6042553,0.07501602,0.21522652,0.0018219051,0.0588073,0.14363626
9,0.21486457,0.5030411,-0.0017458276,0.17701703,0.43259805,0.6205674,0.07212023,0.16884802,-0.0005859919,0.05941642,0.14520341
10,0.23556246,0.6591082,0.02489091,0.1791313,0.436122,0.59574467,0.07906757,0.22123261,0.0083547365,0.060126245,0.14638637
11,0.22953571,0.5286743,0.01137445,0.17947347,0.4375642,0.6212766,0.07704466,0.1774519,0.0038178863,0.060241103,0.14687032
12,0.2304109,0.5992217,-0.0147565855,0.18506476,0.4504052,0.61985815,0.07733846,0.2011314,-0.004953097,0.062117804,0.15118067
13,0.23592073,0.5443746,0.003926095,0.18067527,0.44561288,0.6042553,0.07918793,0.18272173,0.0013178153,0.060644552,0.1495719
14,0.23935363,0.54154646,0.018781928,0.1914209,0.46745303,0.6,0.08034014,0.18177249,0.006304239,0.06425124,0.15690272
15,0.24018914,0.53015536,-0.003269643,0.18405907,0.44934502,0.58368796,0.08062056,0.17794901,-0.0010974754,0.061780315,0.15082453
16,0.24447578,0.50690484,-0.009580732,0.192786,0.47114402,0.6085106,0.08205938,0.17014481,-0.0032158135,0.06470938,0.15814152
17,0.2359975,0.49676305,0.016409902,0.18990706,0.4614557,0.5978723,0.0792136,0.16674069,0.0055080564,0.063743144,0.15488958
18,0.25303483,0.5577666,0.0016679231,0.1888885,0.45889866,0.593617,0.08493229,0.18721685,0.0005598452,0.06340124,0.15403129
19,0.25442395,0.50301814,-0.008378512,0.19517255,0.4740456,0.5914894,0.08539857,0.16884026,-0.0028122833,0.065510586,0.15911558
20,0.26517606,0.57518756,0.021746216,0.19114684,0.4653277,0.5780142,0.089007564,0.19306427,0.007299217,0.06415927,0.15618931
21,0.2768451,0.5974535,0.0052947463,0.19558792,0.47443184,0.5716312,0.09292424,0.20053786,0.0017772025,0.06564999,0.15924506
22,0.26137322,0.57622445,-0.02926314,0.19470774,0.4763128,0.59432626,0.08773103,0.1934123,-0.00982231,0.06535455,0.15987648
23,0.29302818,0.7283043,0.0055645606,0.19670534,0.4797914,0.5780142,0.09835619,0.24445856,0.0018677744,0.066025026,0.1610442
24,0.26743636,0.55690444,0.03880831,0.19862792,0.48630172,0.5780142,0.08976618,0.18692738,0.013026186,0.06667031,0.16322938
25,0.30946577,0.82686096,-0.008763326,0.19704445,0.47884795,0.5687943,0.10387364,0.27753946,-0.0029414536,0.06613882,0.16072743
26,0.26252592,0.55320984,-0.040251672,0.20181747,0.49252808,0.59078014,0.08811801,0.18568729,-0.013510642,0.06774089,0.16531923
27,0.3074506,0.8746362,0.011573725,0.20086776,0.4910833,0.5929078,0.10319716,0.29357556,0.0038847676,0.0674221,0.16483432
28,0.28772277,0.64077634,0.024699716,0.20221016,0.49474913,0.5893617,0.096575364,0.21507943,0.00829057,0.0678728,0.16606471
29,0.29998684,0.8235389,-0.010464096,0.20467304,0.4996311,0.59432626,0.10069198,0.2764245,-0.0035123192,0.06869937,0.1677034
30,0.2997874,0.7199088,0.0038612608,0.2026352,0.4953287,0.59078014,0.10062488,0.24164046,0.0012960538,0.06801543,0.16625923
31,0.29077527,0.72373855,0.0045995344,0.20923501,0.51216465,0.61205673,0.097600006,0.24292605,0.001543855,0.07023066,0.17191032
32,0.29577166,0.71203196,0.0018174029,0.20281312,0.4960212,0.5886525,0.099277094,0.23899665,0.00061001757,0.068075046,0.16649179
33,0.28817374,0.6569195,0.012444959,0.210167,0.51440483,0.6148936,0.09672676,0.22049786,0.0041772085,0.070543446,0.17266233
34,0.28444165,0.66508657,0.016836733,0.20434935,0.500831,0.5921986,0.095474154,0.22323924,0.0056513217,0.06859078,0.16810626
35,0.30346566,0.6782545,-0.0012103403,0.20981008,0.5098621,0.5858156,0.10185966,0.22765912,-0.00040625414,0.07042369,0.1711373
