horizon_step,mae_normalized,rmse_normalized,bias_normalized,predictive_std_normalized,interval_width_p10_p90_normalized,coverage_p10_p90,mae_original,rmse_original,bias_original,predictive_std_original,interval_width_p10_p90_original
1,0.14469585,0.21692005,0.019516956,0.15800886,0.387054,0.67943263,0.048567757,0.07281019,0.0065509537,0.053036332,0.12991628
2,0.1445211,0.22122912,0.007364502,0.13450804,0.3285383,0.63687944,0.048509162,0.074256524,0.002471927,0.045148205,0.11027529
3,0.1650383,0.27588195,0.016029663,0.08146413,0.20009597,0.4106383,0.05539586,0.092600994,0.005380431,0.027343787,0.06716307
4,0.16233294,0.29738253,0.0065273596,0.09159101,0.22659007,0.48652482,0.054487757,0.09981774,0.0021909398,0.030742921,0.07605597
5,0.18488784,0.3754542,-0.014253885,0.1037905,0.25442883,0.47659576,0.062058497,0.12602288,-0.004784382,0.03483775,0.085400246
6,0.18400232,0.3924226,-0.00034945548,0.09922442,0.24404418,0.48085105,0.06176117,0.13171841,-0.000117297524,0.03330512,0.081914544
7,0.20629686,0.432891,0.0047397185,0.09359985,0.22871508,0.39787233,0.069244474,0.14530177,0.0015909082,0.031417184,0.07676925
8,0.2060541,0.5114521,-0.0017767566,0.0964691,0.23577632,0.41702127,0.06916298,0.17167117,-0.0005963718,0.032380268,0.07913937
9,0.21096352,0.47706917,-0.007860189,0.09809435,0.24036576,0.38723403,0.070810825,0.1601304,-0.0026383093,0.032925803,0.08067986
10,0.21923125,0.5521164,0.011133209,0.09657941,0.23671843,0.3638298,0.073585875,0.18532033,0.0037369109,0.03241733,0.07945558
11,0.22806768,0.50445795,-0.0020632346,0.09991965,0.24457252,0.3822695,0.0765519,0.16932356,-0.0006925348,0.033538505,0.08209185
12,0.22261402,0.5445804,-0.011588665,0.103827424,0.25273106,0.39787233,0.07472133,0.18279088,-0.0038897865,0.034850135,0.08483025
13,0.23339547,0.51837206,-0.0033314782,0.10659855,0.25975612,0.4141844,0.078340195,0.17399386,-0.0011182268,0.035780273,0.08718831
14,0.24377337,0.5325681,0.0012261638,0.11204111,0.27464417,0.370922,0.081823654,0.17875879,0.00041156562,0.037607085,0.09218562
15,0.24452803,0.5347485,-0.0033129607,0.11181042,0.27425256,0.3815603,0.08207686,0.17949072,-0.0011120115,0.037529644,0.0920541
16,0.24772571,0.5050295,-0.004091478,0.11660168,0.2856061,0.4007092,0.08315038,0.16951533,-0.001373319,0.03913789,0.09586494
17,0.24531965,0.5339122,-0.00024684673,0.118166625,0.29120234,0.41489363,0.08234266,0.17920992,-8.285515e-05,0.039663155,0.09774341
18,0.24588028,0.50155056,-0.006599308,0.117830545,0.28826118,0.41276595,0.0825308,0.1683477,-0.0022150876,0.039550323,0.0967561
19,0.26050118,0.52373403,-0.0037072273,0.121317506,0.29763338,0.40212765,0.08743835,0.17579372,-0.00124435,0.04072073,0.099902
20,0.26478747,0.5394919,0.019930936,0.12206852,0.2997244,0.39432624,0.08887714,0.18108286,0.0066899057,0.040972818,0.100603715
21,0.2879333,0.6350975,-0.01033808,0.12486685,0.30452076,0.4,0.09664609,0.21317327,-0.0034700239,0.041912097,0.10221377
22,0.25645158,0.508237,-0.03108976,0.12385423,0.30366513,0.4,0.08607917,0.17059204,-0.010435404,0.04157221,0.10192663
23,0.31080496,0.76804876,0.014986032,0.12670958,0.3121566,0.38368794,0.10432317,0.25779894,0.005030125,0.04253058,0.104776725
24,0.26024368,0.49040338,0.020877335,0.12606165,0.30777293,0.39574468,0.08735195,0.16460603,0.0070075737,0.04231309,0.10330528
25,0.31808177,0.84262836,-0.018578837,0.12774158,0.3104334,0.39503548,0.10676562,0.282832,-0.0062360694,0.042876974,0.104198255
26,0.26124436,0.53341913,-0.03900888,0.12664367,0.30823657,0.40921986,0.08768782,0.1790445,-0.013093495,0.04250852,0.10346097
27,0.31589133,0.8578767,0.00997648,0.13177592,0.32180023,0.39361703,0.10603035,0.28795013,0.0033486485,0.044231173,0.108013615
28,0.28890145,0.641568,0.009622911,0.12862347,0.31484738,0.39716312,0.09697101,0.21534511,0.0032299703,0.043173093,0.10567987
29,0.30908605,0.76757705,-0.011309693,0.13376653,0.3276626,0.39078015,0.10374604,0.25764072,-0.0037961514,0.044899307,0.10998145
30,0.31005716,0.7349061,-0.003930617,0.1327513,0.3254271,0.38510638,0.10407217,0.24667452,-0.0013193291,0.044558562,0.10923116
31,0.28529993,0.6484012,-0.013925971,0.13718729,0.33680928,0.40780142,0.09576223,0.2176387,-0.004674313,0.046047546,0.11305157
